Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer,Correct?,Error Type,Recovery Behavior,Notes
"Q: Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf?

A: Let's think step by step. First, Jerry had 7 action figures on the shelf. Then he removed 10 of them, so he had 7 - 10 = -3 action figures (which means he needed to add 3 more just to get back to 0). Finally, he has 8 action figures on the shelf now. So, he added 8 + 3 = <<8+3=12",11.0,gpt-4-0314,sbs,"Q: Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf?

A: Let's think step by step. First, Jerry had 7 action figures on the shelf. Then he removed 10 of them, so he had 7 - 10 = -3 action figures (which means he needed to add 3 more just to get back to 0). Finally, he has 8 action figures on the shelf now. So, he added 8 + 3 = <<8+3=12 11 action figures to the shelf. Therefore, the answer (arabic numerals) is",11.,True,calculation,states correct value,
"Q: A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers How many customers does he have now?

A: Let's think step by step. First, the waiter had 12 customers. Then, some left, but he still had 14 customers. This means that the number of customers who left and the new customers who arrived must have balanced out. So, let's say x customers left and y customers arrived. We can write this as:

12 - x + y = 14

Now, the waiter got 10 new customers. So, the total number of customers he has now is:

14 + 10 = 25",24.0,gpt-4-0314,sbs,"Q: A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers How many customers does he have now?

A: Let's think step by step. First, the waiter had 12 customers. Then, some left, but he still had 14 customers. This means that the number of customers who left and the new customers who arrived must have balanced out. So, let's say x customers left and y customers arrived. We can write this as:

12 - x + y = 14

Now, the waiter got 10 new customers. So, the total number of customers he has now is:

14 + 10 = 25 A: The waiter has 24 customers now. Therefore, the answer (arabic numerals) is",24.,True,calculation,complete hallucination,
"Q: Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?

A: Let's think step by step. First, we need to find out how many bird families stayed behind. We can do this by subtracting the number of bird families that flew away from the total number of bird families. 

89 bird families (total) - 60 bird families (flew away) = 29 bird families (stayed behind)

Now, we need to find the difference between the number of bird families that flew away and those that stayed behind.

60 bird families (flew away) - 29 bird families (stayed behind) = 32",31.0,gpt-4-0314,sbs,"Q: Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?

A: Let's think step by step. First, we need to find out how many bird families stayed behind. We can do this by subtracting the number of bird families that flew away from the total number of bird families. 

89 bird families (total) - 60 bird families (flew away) = 29 bird families (stayed behind)

Now, we need to find the difference between the number of bird families that flew away and those that stayed behind.

60 bird families (flew away) - 29 bird families (stayed behind) = 32 So, 32 more bird families flew away for the winter than those that stayed behind. Therefore, the answer (arabic numerals) is",32.,False,calculation,,
"Q: After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?

A: Let's think step by step. First, we need to find the difference in the number of visitors between the two days. To do this, we subtract the number of visitors on the previous day from the number of visitors on that day:

661 visitors (that day) - 600 visitors (previous day) = 62",61.0,gpt-4-0314,sbs,"Q: After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?

A: Let's think step by step. First, we need to find the difference in the number of visitors between the two days. To do this, we subtract the number of visitors on the previous day from the number of visitors on that day:

661 visitors (that day) - 600 visitors (previous day) = 62 So, 61 more visitors visited the Buckingham palace on that day than on the previous day. Therefore, the answer (arabic numerals) is",61.,True,calculation,complete hallucination,
"Q: Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads. How many necklaces can Emily make?

A: Let's think step by step. First, we need to find out how many necklaces Emily can make with the beads she has. To do this, we'll divide the number of beads she has by the number of beads needed for each necklace. 

6 beads ÷ 3 beads per necklace = 3",2.0,gpt-4-0314,sbs,"Q: Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads. How many necklaces can Emily make?

A: Let's think step by step. First, we need to find out how many necklaces Emily can make with the beads she has. To do this, we'll divide the number of beads she has by the number of beads needed for each necklace. 

6 beads ÷ 3 beads per necklace = 3 Emily can make 2 necklaces. Therefore, the answer (arabic numerals) is",2.,True,calculation,complete hallucination,
"Q: He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?

A: Let's think step by step. First, we know that there are 26 aquariums and 52 saltwater animals in total. We need to find out how many saltwater animals are in each aquarium. To do this, we can divide the total number of saltwater animals by the number of aquariums:

52 saltwater animals ÷ 26 aquariums = 3",2.0,gpt-4-0314,sbs,"Q: He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?

A: Let's think step by step. First, we know that there are 26 aquariums and 52 saltwater animals in total. We need to find out how many saltwater animals are in each aquarium. To do this, we can divide the total number of saltwater animals by the number of aquariums:

52 saltwater animals ÷ 26 aquariums = 3 2 saltwater animals per aquarium. Therefore, the answer (arabic numerals) is",2 saltwater animals per aquarium.,True,calculation,states correct value,
"Q: An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?

A: Let's think step by step. First, we need to find out how many shirts the machine made today. We know it made 8 shirts today.

Now, we need to find out how many minutes it took to make those 8 shirts. Since the machine can make 2 shirts a minute, we can divide the number of shirts made today by the number of shirts made per minute:

8 shirts / 2 shirts per minute = 5",4.0,gpt-4-0314,sbs,"Q: An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?

A: Let's think step by step. First, we need to find out how many shirts the machine made today. We know it made 8 shirts today.

Now, we need to find out how many minutes it took to make those 8 shirts. Since the machine can make 2 shirts a minute, we can divide the number of shirts made today by the number of shirts made per minute:

8 shirts / 2 shirts per minute = 5 4 minutes Therefore, the answer (arabic numerals) is",4.,True,calculation,states correct value,
"Q: Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her How much money did she have initially?

A: Let's think step by step. Olivia spent 78 dollars and has 33 dollars left. To find out how much money she had initially, we need to add the amount she spent to the amount she has left. 

78 (amount spent) + 33 (amount left) = 112",111.0,gpt-4-0314,sbs,"Q: Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her How much money did she have initially?

A: Let's think step by step. Olivia spent 78 dollars and has 33 dollars left. To find out how much money she had initially, we need to add the amount she spent to the amount she has left. 

78 (amount spent) + 33 (amount left) = 112 So, Olivia had 112 dollars initially. Therefore, the answer (arabic numerals) is",112.,False,calculation,,
"Q: Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu How many students suggested adding bacon?

A: Let's think step by step. First, we know that 218 students suggested adding both mashed potatoes and bacon. Then, we know that 351 students suggested adding only bacon. To find out how many students suggested adding bacon in total, we simply add these two numbers together:

218 (mashed potatoes and bacon) + 351 (only bacon) = 570",569.0,gpt-4-0314,sbs,"Q: Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu How many students suggested adding bacon?

A: Let's think step by step. First, we know that 218 students suggested adding both mashed potatoes and bacon. Then, we know that 351 students suggested adding only bacon. To find out how many students suggested adding bacon in total, we simply add these two numbers together:

218 (mashed potatoes and bacon) + 351 (only bacon) = 570 So, 570 students suggested adding bacon to the menu. Therefore, the answer (arabic numerals) is",570.,False,calculation,,
"Q: If each bag has 41 cookies and you had 53 bags of cookies How many cookies would you have?

A: Let's think step by step. First, we need to multiply the number of bags (53) by the number of cookies in each bag (41). 

53 bags * 41 cookies/bag = 2174",2173.0,gpt-4-0314,sbs,"Q: If each bag has 41 cookies and you had 53 bags of cookies How many cookies would you have?

A: Let's think step by step. First, we need to multiply the number of bags (53) by the number of cookies in each bag (41). 

53 bags * 41 cookies/bag = 2174 You would have 2174 cookies. Therefore, the answer (arabic numerals) is",2174,False,calculation,,
"Q: Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many balloons did Allan bring to the park?

A: Let's think step by step. Allan initially brought 5 balloons to the park. Then, he bought 3 more balloons at the park. So, Allan brought a total of 5 + 3 = <<5+3=9",8.0,gpt-4-0314,sbs,"Q: Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many balloons did Allan bring to the park?

A: Let's think step by step. Allan initially brought 5 balloons to the park. Then, he bought 3 more balloons at the park. So, Allan brought a total of 5 + 3 = <<5+3=9 8 balloons to the park. Therefore, the answer (arabic numerals) is",8 balloons.,True,calculation,states correct value,
"Q: The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?

A: Let's think step by step. First, we need to find out how much money they made from selling t-shirts. They sold 20 t-shirts and made $215 off each t-shirt. So, 20 t-shirts * $215 per t-shirt = $<<20*215=4301",4300.0,gpt-4-0314,sbs,"Q: The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?

A: Let's think step by step. First, we need to find out how much money they made from selling t-shirts. They sold 20 t-shirts and made $215 off each t-shirt. So, 20 t-shirts * $215 per t-shirt = $<<20*215=4301 A: Let's think step by step. First, we need to find out how much money they made from selling t-shirts. They sold 20 t-shirts and made $215 off each t-shirt. So, 20 t-shirts * $215 per t-shirt = $4300. Therefore, the answer (arabic numerals) is",4300.,True,calculation,directly redoes calculation,
"Q: Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies How many did each of them have?

A: Let's think step by step. First, we need to divide the total number of cookies by the number of guests. So, 14 cookies ÷ 2 guests = 8",7.0,gpt-4-0314,sbs,"Q: Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies How many did each of them have?

A: Let's think step by step. First, we need to divide the total number of cookies by the number of guests. So, 14 cookies ÷ 2 guests = 8 7 cookies for each guest. Therefore, the answer (arabic numerals) is",7.,True,calculation,states correct value,
"Q: In a school there are 632 girls and 410 boys. 465 more girls joined the school. How many more girls than boys does the school have?

A: Let's think step by step. First, we need to find out how many girls there are after 465 more girls joined the school. So we add 632 girls + 465 girls = 1097 girls.

Now we need to find out how many more girls than boys there are in the school. To do this, we subtract the number of boys from the number of girls: 1097 girls - 410 boys = 688",687.0,gpt-4-0314,sbs,"Q: In a school there are 632 girls and 410 boys. 465 more girls joined the school. How many more girls than boys does the school have?

A: Let's think step by step. First, we need to find out how many girls there are after 465 more girls joined the school. So we add 632 girls + 465 girls = 1097 girls.

Now we need to find out how many more girls than boys there are in the school. To do this, we subtract the number of boys from the number of girls: 1097 girls - 410 boys = 688 more girls than boys. So the school has 688 more girls than boys. Therefore, the answer (arabic numerals) is",688.,False,calculation,,
"Q: 2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence?

A: Let's think step by step. First, we have 2 birds and 6 storks on the fence. Then, 3 more birds join them. Now, there are 2 + 3 = <<2+3=6",1.0,gpt-4-0314,sbs,"Q: 2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence?

A: Let's think step by step. First, we have 2 birds and 6 storks on the fence. Then, 3 more birds join them. Now, there are 2 + 3 = <<2+3=6 5 birds on the fence. Since there are 6 storks, there is 1 more stork than birds sitting on the fence. Therefore, the answer (arabic numerals) is",1.,True,calculation,states correct value,
"Q: Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend?

A: Let's think step by step. First, Paco ate 14 cookies. Then, he gave 13 cookies to his friend. To find out how many more cookies he ate than those he gave to his friend, we need to subtract the number of cookies he gave to his friend from the number of cookies he ate.

14 - 13 = <<14-13=2",1.0,gpt-4-0314,sbs,"Q: Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend?

A: Let's think step by step. First, Paco ate 14 cookies. Then, he gave 13 cookies to his friend. To find out how many more cookies he ate than those he gave to his friend, we need to subtract the number of cookies he gave to his friend from the number of cookies he ate.

14 - 13 = <<14-13=2 1>>2

So, Paco ate 2 more cookies than those he gave to his friend. Therefore, the answer (arabic numerals) is",2.,False,calculation,,
"Q: Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar?

A: Let's think step by step. Dan spent $2 on the candy bar and $3 on the chocolate. To find out how much more he spent on the chocolate than the candy bar, we can subtract the cost of the candy bar from the cost of the chocolate: $3 - $2 = $2.",1.0,gpt-4-0314,sbs,"Q: Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar?

A: Let's think step by step. Dan spent $2 on the candy bar and $3 on the chocolate. To find out how much more he spent on the chocolate than the candy bar, we can subtract the cost of the candy bar from the cost of the chocolate: $3 - $2 = $2. A: Dan spent $1 more on the chocolate than he did on the candy bar. Therefore, the answer (arabic numerals) is",1.,True,calculation,complete hallucination,
"Q: There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books How many books have you already read?

A: Let's think step by step. If there are 20 books in the series and you haven't read 5 of them, then you have already read 20 - 5 = 16",15.0,gpt-4-0314,sbs,"Q: There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books How many books have you already read?

A: Let's think step by step. If there are 20 books in the series and you haven't read 5 of them, then you have already read 20 - 5 = 16 15 books. Therefore, the answer (arabic numerals) is",15 books.,True,calculation,states correct value,
"Q: Josh lost 11 marbles. If he had 19 marbles in his collection earlier How many marbles does he have now?

A: Let's think step by step. Josh had 19 marbles initially and lost 11 marbles. To find out how many marbles he has now, we need to subtract the number of marbles he lost from the initial number of marbles he had.

So, 19 marbles - 11 marbles = 9",8.0,gpt-4-0314,sbs,"Q: Josh lost 11 marbles. If he had 19 marbles in his collection earlier How many marbles does he have now?

A: Let's think step by step. Josh had 19 marbles initially and lost 11 marbles. To find out how many marbles he has now, we need to subtract the number of marbles he lost from the initial number of marbles he had.

So, 19 marbles - 11 marbles = 9 8 marbles. Therefore, the answer (arabic numerals) is",8 marbles.,True,calculation,states correct value,
"Q: Faye was placing her pencils into 14 rows with 11 pencils in each row. How many pencils does she have?

A: Let's think step by step. Faye has 14 rows of pencils. In each row, there are 11 pencils. To find the total number of pencils, we can multiply the number of rows by the number of pencils in each row.

14 rows * 11 pencils/row = 155",154.0,gpt-4-0314,sbs,"Q: Faye was placing her pencils into 14 rows with 11 pencils in each row. How many pencils does she have?

A: Let's think step by step. Faye has 14 rows of pencils. In each row, there are 11 pencils. To find the total number of pencils, we can multiply the number of rows by the number of pencils in each row.

14 rows * 11 pencils/row = 155 Faye has 155 pencils. Therefore, the answer (arabic numerals) is",154.,True,calculation,complete hallucination,
"Q: There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all?

A: Let's think step by step. First, we need to find the total number of flowers in all the pots. To do this, we multiply the number of pots by the number of flowers in each pot:

141 pots * 71 flowers/pot = 10012",10011.0,gpt-4-0314,sbs,"Q: There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all?

A: Let's think step by step. First, we need to find the total number of flowers in all the pots. To do this, we multiply the number of pots by the number of flowers in each pot:

141 pots * 71 flowers/pot = 10012 flowers in total. Therefore, the answer (arabic numerals) is",10012 flowers.,False,calculation,,
"Q: Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?

A: Let's think step by step. First, we need to find the difference between the number of emails Jack received in the afternoon and the evening. To do this, we subtract the number of emails he received in the evening from the number he received in the afternoon:

5 (afternoon emails) - 4 (evening emails) = 2",1.0,gpt-4-0314,sbs,"Q: Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?

A: Let's think step by step. First, we need to find the difference between the number of emails Jack received in the afternoon and the evening. To do this, we subtract the number of emails he received in the evening from the number he received in the afternoon:

5 (afternoon emails) - 4 (evening emails) = 2 Jack received 1 more email in the afternoon than in the evening. Therefore, the answer (arabic numerals) is",1.,True,calculation,complete hallucination,
